model,cv_best_neg_rmse,best_params,val_mae,val_rmse,val_mape,val_r2,test_mae,test_rmse,test_mape,test_r2
random_forest,-54571.69035448667,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}",22996.8496948052,28589.682684817966,0.1274184218800609,0.5446040802228149,15864.721879930285,19255.197274564336,0.10553207631039603,0.8418789711939914
ridge_regression,-68964.04605757396,"{""model__alpha"": 10.0}",24952.599681005842,29663.092595993247,0.14343614488787168,0.509766122594419,22452.08401634931,24506.432688163306,0.14960556382441695,0.7438738738800964
svr_rbf,-84398.57254016105,"{""model__C"": 100.0, ""model__epsilon"": 0.01, ""model__gamma"": 0.01}",49711.73364470396,64296.32375324042,0.2523799214468685,-1.3032588526749938,47788.12760645413,65627.57288705498,0.23828993247077057,-0.8368190397947697
